"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"35987",0.6855,0.3758,0.3868,0.1903,0.4041,2018,"AL"
"35988",0.3664,0.6085,0.7154,0.4371,0.5031,2018,"AL"
"35989",0.6541,0.7233,0.7877,0.3585,0.6588,2018,"AL"
"35990",0.2657,0.1164,0,0.4182,0.1336,2018,"AL"
"36003",0.5362,0.4387,0.4057,0.5943,0.5346,2018,"AL"
"36005",0.7469,0.8003,0.3726,0.1478,0.4796,2018,"AL"
"36006",0.1305,0.522,0.1824,0.3082,0.1557,2018,"AL"
"36009",0.2531,0.3569,0.2704,0.5126,0.3129,2018,"AL"
"36010",0.9072,0.8066,0.7123,0.6635,0.8789,2018,"AL"
"36013",0.0173,0.0299,0.6211,0,0.0079,2018,"AL"
"36016",0.9654,0.3915,0.8931,0.9984,0.989,2018,"AL"
"36017",0.9104,0.2673,0.9686,0.9575,0.9418,2018,"AL"
"36020",0.5802,0.8742,0.8506,0.4827,0.7264,2018,"AL"
"36022",0.0786,0.1494,0.4434,0.717,0.2563,2018,"AL"
"36024",0.1132,0.695,0.5597,0.2531,0.2374,2018,"AL"
"36025",0.8553,0.0975,0.9591,0.8884,0.8522,2018,"AL"
"36026",0.4371,0.827,0.2233,0.0377,0.184,2018,"AL"
"36027",0.8789,0.9827,0.945,0.8962,0.9858,2018,"AL"
"36028",0.6824,0.6478,0.695,0.3899,0.6352,2018,"AL"
"36029",0.6384,0.4528,0.9434,0.2154,0.5692,2018,"AL"
"36030",0.6069,0.4418,0.4104,0.1792,0.3601,2018,"AL"
"36031",0.4827,0.2296,0.5928,0.3428,0.3758,2018,"AL"
"36032",0.8239,0.5881,0.5252,0.5472,0.7123,2018,"AL"
"36033",0.7642,0.9198,0.3601,0.9481,0.9057,2018,"AL"
"36034",0.5865,0.3789,0.228,0.4135,0.4167,2018,"AL"
"36035",0.3019,0.8962,0.794,0.3443,0.5487,2018,"AL"
"36036",0.5833,0.3821,0.3711,0.3711,0.4434,2018,"AL"
"36037",0.5975,0.7673,0.8821,0.8632,0.8774,2018,"AL"
"36038",0.7421,0.4072,0.4245,0.0613,0.3035,2018,"AL"
"36039",0.5503,0.1022,0.5472,0.0802,0.1761,2018,"AL"
"36040",0.9717,0.9733,0.8522,0.9764,0.9984,2018,"AL"
"36041",0.4796,0.3066,0.8962,0.1871,0.4261,2018,"AL"
"36042",0.5629,0.0849,0.1431,0.5142,0.2877,2018,"AL"
"36043",0.7044,0.7264,0.6997,0.4497,0.6918,2018,"AL"
"36046",0.6368,0.6981,0.3003,0.3821,0.5189,2018,"AL"
